CVE_ENT,Región,Mercado,Concesionaria,VExperienciaClienteNov,VExperienciaClienteAcum,VSatisfacciónNov,VSatisfacciónAcum,VFConfianzaNov,VConfianzaAcum,VCalidadTNov,VCalidadTAcum,VAtenciónNov,VAtenciónAcum,VAparienciaFísNov,VAparienciaFísAcum,VOpiniónGeneralNov,VOpiniónGenAcum,VCortesíaNov,VCortesíaAcum,VConocimientoNov,VConocimientoAcum,VAyudaNov,AAyudaNov,VInvitaciónNov,VInvitaciónAcum,VPManejoNov,VPManejoAcum,VExperienciaPagoNov,VExperienciaPagoAcum,VProductosFinNov,VProductosFinAcum,VOpcionPagoNov,VOpciónPagoAcum,VContratoNov,VContratoAcum,VTDocsNov,VTDocsAcum,VEntregaNov,VEntregaAcum,VEntregaFechaNov,VEntregaFechaAcum,VLimpiezaNov,VLimpiezaAcum,VEstaodoNov,VEstadoAcum,VExplicaciónCarNov,VExplicaciónCarAcum,VTEntregaNov,VTEntregaAcum,VEAgendarNov,VEAgendaAcum,VLVerificaciónNov,VLVerificaciónAcum,VCompromisosNov,VCompromisosAcum,VSeguimientoNov,VSeguimientoAcum,VQuejasNov,VQuejasAcum,VVelocidadQuejasNov,VVelocidadQuejasAcum,VEncantoNov,VEncantoAcum,VCompartirNov,VCompartirAcum
9,M1 - M1,A - A,"M1053 - Alden Concesionaria Tacubaya, S.A. de C.V.",89.6,72.8,78.1,75.5,90.6,77.5,96.9,86.2,84.4,77.1,71.9,73.5,81.2,80.4,91.7,62.9,50.0,33.2,66.7,44.1,100.0,58.2,100.0,78.6,90.6,70.1,91.7,46.6,91.7,47.3,75.0,34.1,83.3,33.5,81.2,68.7,83.3,6.0,91.7,59.1,58.3,56.7,58.3,50.3,83.3,19.2,58.3,33.8,100.0,94.1,96.9,70.1,75.0,75.4,62.5,81.9,66.7,22.0,93.8,76.1,93.8,71.5
9,M1 - M1,A - A,M1301 - Camsa,79.7,66.2,87.5,72.2,84.4,73.5,90.6,82.0,65.6,72.6,53.1,67.5,90.6,73.5,100.0,64.2,75.0,38.1,83.3,39.6,100.0,54.6,50.0,72.4,81.2,66.6,83.3,39.2,83.3,41.3,83.3,38.5,83.3,31.5,90.6,62.6,91.7,16.9,83.3,54.2,66.7,56.6,83.3,49.2,75.0,26.1,58.3,25.0,100.0,91.6,71.9,64.8,75.0,67.7,75.0,77.9,75.0,0.6,71.9,68.9,71.9,61.1
9,M1 - M1,A - A,M1338 - Automovilistica Andrade,93.8,76.5,87.5,77.5,100.0,80.7,100.0,88.7,87.5,79.5,100.0,73.0,100.0,81.0,-,58.3,-,39.2,-,33.5,-,50.0,100.0,70.1,100.0,72.4,-,47.1,-,45.5,-,37.9,-,31.4,100.0,73.5,-,20.5,-,50.0,-,51.2,-,47.2,-,26.8,-,22.0,100.0,93.3,87.5,73.7,100.0,82.8,100.0,82.1,-,10.5,87.5,81.2,87.5,77.2
15,M1 - M1,A - A,M1413 - Echegaray Automotores,-,71.3,-,75.0,-,70.0,-,78.1,-,83.8,-,70.0,-,83.5,-,61.1,-,32.4,-,38.9,-,47.1,-,76.0,-,65.8,-,49.4,-,56.7,-,43.5,-,31.2,-,67.5,-,23.8,-,63.8,-,61.5,-,46.9,-,31.2,-,16.7,-,92.3,-,68.2,-,73.6,-,84.9,-,32.8,-,77.1,-,65.7
9,M1 - M1,A - A,M1474 - Alden Tlalpan,100.0,82.0,100.0,82.1,93.8,78.9,100.0,85.2,100.0,87.2,100.0,83.6,100.0,90.6,-,61.2,-,33.1,-,35.0,-,50.6,100.0,84.6,100.0,80.2,-,51.4,-,55.8,-,50.0,-,45.7,100.0,79.6,-,21.9,-,52.3,-,54.3,-,45.4,-,35.0,-,50.6,100.0,98.4,100.0,78.4,100.0,92.9,100.0,83.1,-,39.6,100.0,84.4,100.0,79.2
9,M1 - M1,A - A,M1479 - Picacho Automotriz,97.5,79.1,100.0,77.1,95.0,79.9,100.0,86.4,93.8,81.4,95.0,78.1,100.0,84.7,-,63.6,-,29.7,-,37.8,-,55.7,100.0,82.6,100.0,81.4,-,47.6,-,47.5,-,40.6,-,45.1,95.0,76.5,75.0,4.0,100.0,52.1,100.0,51.6,100.0,52.9,100.0,25.4,100.0,22.1,100.0,94.3,100.0,75.2,80.0,87.3,100.0,80.3,-,29.3,95.0,80.7,95.0,75.9
9,M1 - M1,A - A,M1493 - Lomas Automotriz,100.0,86.7,100.0,85.8,100.0,87.6,100.0,90.5,100.0,90.3,100.0,84.5,100.0,91.2,-,77.2,-,38.2,-,48.5,-,58.8,100.0,86.6,100.0,87.1,-,58.8,-,58.6,-,58.2,-,60.9,100.0,87.1,-,16.5,-,63.6,-,69.0,-,43.9,-,40.8,-,59.0,100.0,96.6,100.0,85.6,100.0,93.7,100.0,85.9,-,45.7,100.0,86.7,100.0,82.7
9,M1 - M1,A - A,M1517 - Picacho Grupo Automotriz (Suc. Tlahuac),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,M1 - M1,A - A,M1524 - Surman Mexico,-,83.8,-,85.2,-,85.8,-,88.8,-,87.3,-,77.7,-,91.3,-,83.6,-,68.0,-,65.6,-,61.7,-,74.9,-,78.6,-,56.2,-,63.6,-,59.6,-,50.5,-,82.8,-,56.1,-,59.2,-,59.9,-,67.3,-,43.2,-,23.6,-,94.3,-,81.6,-,80.7,-,84.6,-,27.8,-,87.6,-,81.0
15,M1 - M1,A - A,M1606 - Vehiculos y Servicios Satelite,81.9,71.2,91.7,73.2,58.3,68.1,91.7,78.8,91.7,77.8,83.3,64.6,100.0,84.3,-,65.4,-,33.8,-,35.3,-,44.1,100.0,75.2,33.3,67.1,0.0,44.4,50.0,50.5,75.0,42.9,37.5,36.6,91.7,64.2,75.0,22.5,75.0,49.2,75.0,54.9,75.0,47.3,0.0,30.6,75.0,36.2,100.0,93.3,100.0,71.2,100.0,73.1,100.0,79.4,-,6.1,83.3,72.1,83.3,68.4
15,M1 - M1,A - A,M1697 - ACASA PERINORTE,95.8,75.4,100.0,74.6,100.0,80.3,100.0,85.3,100.0,76.9,95.0,73.9,100.0,81.2,-,64.7,-,24.1,-,42.9,-,56.9,100.0,72.7,100.0,73.5,-,38.7,-,45.8,-,50.0,-,32.1,100.0,73.1,-,25.0,-,55.5,-,62.8,-,48.2,-,32.3,-,37.5,100.0,98.6,95.0,72.2,100.0,78.9,60.0,78.0,100.0,28.6,100.0,77.8,80.0,74.8
15,M1 - M1,B - B,M1221 - Zapata,83.6,85.2,83.3,83.4,88.9,85.6,83.3,90.1,77.8,85.8,83.3,82.4,91.7,88.7,58.3,63.5,0.0,34.6,25.0,42.2,0.0,48.9,100.0,78.3,73.6,83.8,82.1,56.5,75.0,58.4,57.1,55.6,57.1,51.5,81.9,84.9,64.3,43.0,75.0,56.1,89.3,59.9,75.0,49.0,78.6,43.4,50.0,32.8,100.0,95.4,86.1,83.6,77.8,90.6,83.3,84.2,83.3,33.4,86.1,87.7,81.9,82.6
13,M1 - M1,B - B,M1333 - Zapata (Suc. Tulancingo),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
